,poemId,poemFullTitle,poemFullUrl,audioTitle,audioArtist,recitationId,gender
90,9598,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷۶,/saadi/divan/ghazals/sh276,غزل شمارهٔ  ۲۷۶,افسر آریا,25468,F
91,9600,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷۸,/saadi/divan/ghazals/sh278,غزل شمارهٔ  ۲۷۸,افسر آریا,25751,F
92,9584,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶۲,/saadi/divan/ghazals/sh262,غزل شمارهٔ  ۲۶۲,افسر آریا,23229,F
93,9601,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷۹,/saadi/divan/ghazals/sh279,غزل شمارهٔ  ۲۷۹,افسر آریا,25945,F
94,9596,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷۴,/saadi/divan/ghazals/sh274,غزل شمارهٔ  ۲۷۴,افسر آریا,25466,F
95,9588,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶۶,/saadi/divan/ghazals/sh266,غزل شمارهٔ  ۲۶۶,افسر آریا,23128,F
96,9589,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶۷,/saadi/divan/ghazals/sh267,غزل شمارهٔ  ۲۶۷,افسر آریا,23174,F
97,9593,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷۱,/saadi/divan/ghazals/sh271,غزل شمارهٔ  ۲۷۱,افسر آریا,23952,F
98,9597,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷۵,/saadi/divan/ghazals/sh275,غزل شمارهٔ  ۲۷۵,افسر آریا,25467,F
99,9590,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶۸,/saadi/divan/ghazals/sh268,غزل شمارهٔ  ۲۶۸,افسر آریا,23230,F
100,9594,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷۲,/saadi/divan/ghazals/sh272,غزل شمارهٔ  ۲۷۲,افسر آریا,25245,F
101,9603,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۸۱,/saadi/divan/ghazals/sh281,غزل شمارهٔ  ۲۸۱,افسر آریا,26822,F
102,9592,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷۰,/saadi/divan/ghazals/sh270,غزل شمارهٔ  ۲۷۰,افسر آریا,23258,F
103,9587,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶۵,/saadi/divan/ghazals/sh265,غزل شمارهٔ  ۲۶۵,افسر آریا,23168,F
104,9586,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶۴,/saadi/divan/ghazals/sh264,غزل شمارهٔ  ۲۶۴,افسر آریا,23196,F
