poemId,poemFullTitle,poemFullUrl,audioTitle,audioArtist,recitationId
1128,خیام » رباعیات » رباعی شمارهٔ ۱۰,/khayyam/robaee/sh10,رباعی شمارهٔ ۱۰,محمد علی قدمیاری,6831
1128,خیام » رباعیات » رباعی شمارهٔ ۱۰,/khayyam/robaee/sh10,رباعی شمارهٔ ۱۰,نازنین بازیان,20953
1128,خیام » رباعیات » رباعی شمارهٔ ۱۰,/khayyam/robaee/sh10,رباعی شمارهٔ ۱۰,علی قلندری,23979
1434,فردوسی » شاهنامه » پادشاهی کی‌کاووس و رفتن او به مازندران » بخش ۵,/ferdousi/shahname/kkavoos/sh5,بخش ۵,فرهاد بشیریان,27442
1207,خیام » رباعیات » رباعی شمارهٔ ۸۹,/khayyam/robaee/sh89,رباعی شمارهٔ ۸۹,داوود ملک زاده,1536
1207,خیام » رباعیات » رباعی شمارهٔ ۸۹,/khayyam/robaee/sh89,رباعی شمارهٔ ۸۹,زهرا بهمنی,16082
1207,خیام » رباعیات » رباعی شمارهٔ ۸۹,/khayyam/robaee/sh89,رباعی شمارهٔ ۸۹,نازنین بازیان,21194
1207,خیام » رباعیات » رباعی شمارهٔ ۸۹,/khayyam/robaee/sh89,رباعی شمارهٔ ۸۹,علی قلندری,24074
3161,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۳۷,/moulavi/shams/ghazalsh/sh537,غزل شمارهٔ ۵۳۷,عندلیب,13369
3162,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۳۸,/moulavi/shams/ghazalsh/sh538,غزل شمارهٔ ۵۳۸,عندلیب,13370
1269,خیام » رباعیات » رباعی شمارهٔ ۱۵۱,/khayyam/robaee/sh151,رباعی شمارهٔ ۱۵۱,داوود ملک زاده,1665
1269,خیام » رباعیات » رباعی شمارهٔ ۱۵۱,/khayyam/robaee/sh151,رباعی شمارهٔ ۱۵۱,زهرا بهمنی,16138
1269,خیام » رباعیات » رباعی شمارهٔ ۱۵۱,/khayyam/robaee/sh151,رباعی شمارهٔ ۱۵۱,نازنین بازیان,21499
1269,خیام » رباعیات » رباعی شمارهٔ ۱۵۱,/khayyam/robaee/sh151,رباعی شمارهٔ ۱۵۱,علی قلندری,24137
2920,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۲۹۶,/moulavi/shams/ghazalsh/sh296,غزل شمارهٔ ۲۹۶,پری ساتکنی عندلیب,11970
2920,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۲۹۶,/moulavi/shams/ghazalsh/sh296,غزل شمارهٔ ۲۹۶,فاطمه زندی,28521
1361,فردوسی » شاهنامه » فریدون » بخش ۴,/ferdousi/shahname/fereydoon/sh4,بخش ۴,فرشید ربانی,15670
1361,فردوسی » شاهنامه » فریدون » بخش ۴,/ferdousi/shahname/fereydoon/sh4,بخش ۴,فرهاد بشیریان,21542
1361,فردوسی » شاهنامه » فریدون » بخش ۴,/ferdousi/shahname/fereydoon/sh4,بخش ۴,محمدیزدانی جوینده,21702
1417,فردوسی » شاهنامه » پادشاهی نوذر » بخش ۱۲,/ferdousi/shahname/nozar/sh12,بخش ۱۲,محمدیزدانی جوینده,22256
1417,فردوسی » شاهنامه » پادشاهی نوذر » بخش ۱۲,/ferdousi/shahname/nozar/sh12,بخش ۱۲,عندلیب,22332
2766,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۱۴۲,/moulavi/shams/ghazalsh/sh142,غزل شمارهٔ ۱۴۲,پری ساتکنی عندلیب,9517
2766,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۱۴۲,/moulavi/shams/ghazalsh/sh142,غزل شمارهٔ ۱۴۲,آرش خیرآبادی,29215
3145,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۲۱,/moulavi/shams/ghazalsh/sh521,غزل شمارهٔ ۵۲۱,عندلیب,13353
1338,فردوسی » شاهنامه » هوشنگ » بخش ۲,/ferdousi/shahname/hushang/sh2,بخش ۲,فریدون فرح‌اندوز,6524
1338,فردوسی » شاهنامه » هوشنگ » بخش ۲,/ferdousi/shahname/hushang/sh2,بخش ۲,فرید حامد,4737
1338,فردوسی » شاهنامه » هوشنگ » بخش ۲,/ferdousi/shahname/hushang/sh2,بخش ۲,سهراب سیفی,15593
1338,فردوسی » شاهنامه » هوشنگ » بخش ۲,/ferdousi/shahname/hushang/sh2,بخش ۲,فرشید ربانی,15500
1338,فردوسی » شاهنامه » هوشنگ » بخش ۲,/ferdousi/shahname/hushang/sh2,بخش ۲,عندلیب,20126
1338,فردوسی » شاهنامه » هوشنگ » بخش ۲,/ferdousi/shahname/hushang/sh2,بخش ۲,فرهاد بشیریان,20622
1338,فردوسی » شاهنامه » هوشنگ » بخش ۲,/ferdousi/shahname/hushang/sh2,بخش ۲,محمدیزدانی جوینده,22012
1252,خیام » رباعیات » رباعی شمارهٔ ۱۳۴,/khayyam/robaee/sh134,رباعی شمارهٔ ۱۳۴,داوود ملک زاده,1640
1252,خیام » رباعیات » رباعی شمارهٔ ۱۳۴,/khayyam/robaee/sh134,رباعی شمارهٔ ۱۳۴,زهرا شیبانی,5506
1252,خیام » رباعیات » رباعی شمارهٔ ۱۳۴,/khayyam/robaee/sh134,رباعی شمارهٔ ۱۳۴,زهرا بهمنی,16118
1252,خیام » رباعیات » رباعی شمارهٔ ۱۳۴,/khayyam/robaee/sh134,رباعی شمارهٔ ۱۳۴,علی قلندری,24119
1323,فردوسی » شاهنامه » آغاز کتاب » بخش ۳ - گفتار اندر آفرینش عالم,/ferdousi/shahname/aghaz/sh3,بخش ۳ - گفتار اندر آفرینش عالم,سهراب سیفی,9377
1323,فردوسی » شاهنامه » آغاز کتاب » بخش ۳ - گفتار اندر آفرینش عالم,/ferdousi/shahname/aghaz/sh3,بخش ۳ - گفتار اندر آفرینش عالم,فرید حامد,4719
1323,فردوسی » شاهنامه » آغاز کتاب » بخش ۳ - گفتار اندر آفرینش عالم,/ferdousi/shahname/aghaz/sh3,بخش ۳ - گفتار اندر آفرینش عالم,فرشید ربانی,15465
1323,فردوسی » شاهنامه » آغاز کتاب » بخش ۳ - گفتار اندر آفرینش عالم,/ferdousi/shahname/aghaz/sh3,بخش ۳ - گفتار اندر آفرینش عالم,عندلیب,20114
