recitationId,audioDuration,audioSampleRate,audioNumChannels,audioBitrate
27086,29.808,48000,2,64
2623,51.905034013605444,44100,1,64
5424,135.07249433106577,44100,2,265
27947,142.94204081632654,44100,1,64
14922,127.6865,44100,1,320
13401,160.705275,44100,1,320
292,22.88326530612245,44100,1,64
16756,144.96342403628117,44100,2,176
4782,240.532,32000,1,64
25832,147.591875,44100,1,64
26133,153.9918,44100,2,320
28018,60.525625,44100,1,128
23647,95.320775,44100,2,320
21380,122.279125,44100,1,128
23700,137.42975,44100,1,128
25813,300.068625,44100,1,64
13438,119.1967,44100,1,320
13404,119.1967,44100,1,320
28109,126.6360625,44100,1,128
28195,141.182,48000,1,128
15950,121.14285714285714,44100,2,127
6165,166.609,44100,1,128
4384,45.91702947845805,44100,1,64
21766,268.1288125,44100,2,128
24151,24.4035,44100,2,320
20960,89.2341875,44100,1,128
1976,65.557,44100,2,64
12477,169.090575,44100,1,320
1471,132.95403628117913,44100,1,64
13283,121.05142857142857,44100,2,192
1001,101.28544217687075,44100,1,64
6153,158.2545625,44100,1,128
13679,136.35915,44100,1,320
2811,126.62861678004535,44100,1,63
20560,123.088875,44100,1,128
22008,115.5395,44100,1,128
26687,101.825275,44100,2,320
12453,120.1383,44100,2,320
21050,693.532875,44100,2,128
12478,187.637525,44100,1,320
28469,27.893333333333334,48000,1,192
4779,291.472,32000,1,64
22686,89.256,48000,2,64
15006,80.46875283446713,44100,2,166
22092,66.1158125,44100,1,128
12695,152.607325,44100,1,320
21452,113.99825,44100,1,128
25933,26.549333333333333,48000,2,192
16389,204.512625,44100,1,320
2203,18.615,44100,2,64
4817,115.89358333333334,44100,2,192
15921,131.1346875,44100,2,128
6572,162.54,32000,1,56
24139,31.9464,44100,2,320
27581,186.43591836734694,44100,2,128
20365,184.68575,44100,1,64
21938,948.97625,44100,1,128
20179,96.052125,44100,1,128
469,177.03183673469388,44100,1,64
26817,88.52895,44100,2,320
20005,88.764,44100,1,128
23208,220.03229166666668,48000,1,84
23960,92.1466875,44100,1,128
3971,44.74485260770975,44100,2,265
27207,230.5590625,44100,1,128
12814,493.13959183673467,44100,1,64
12530,122.98445,44100,1,320
9672,109.34074829931973,44100,2,262
22396,82.573,44100,1,128
2780,208.5945804988662,44100,1,64
17614,129.5411875,44100,2,128
19692,28.8,48000,2,64
21358,115.1999375,44100,1,128
13013,67.2707029478458,44100,2,177
25222,126.6941875,44100,1,128
21617,991.1720625,44100,2,128
4161,69.4509977324263,44100,1,64
24119,30.5109,44100,2,320
28364,171.18075,44100,1,128
5712,49.423625,44100,2,128
1925,65.50475,44100,2,64
1321,231.3488,32000,2,80
15881,123.3763,44100,1,320
9753,186.1644375,44100,2,128
20890,182.0735,44100,1,64
10044,181.6816875,44100,2,128
190,23.588571428571427,44100,1,64
23823,72.96,48000,2,192
22117,84.66275,44100,1,128
22808,838.9680208333333,48000,1,101
1916,64.904,44100,2,64
26350,171.67675,44100,1,64
5715,116.8456875,44100,2,128
22301,82.390125,44100,1,128
27712,106.422825,44100,2,320
9669,123.96578231292517,44100,2,267
266,26.874,32000,1,57
27620,112.3265,44100,2,320
16114,32.0,44100,2,128
12194,187.1412,44100,1,320
29102,109.6096875,44100,2,128
22970,29.8319375,44100,1,128
27556,73.822,44100,2,320
13586,77.27020408163266,44100,2,192
13687,153.208125,44100,1,320
17622,114.16421428571428,44100,2,112
16562,138.6318125,44100,2,128
16764,115.9720634920635,44100,2,188
1657,17.856,48000,1,64
16950,130.664375,44100,1,128
13314,148.92405,44100,1,320
26562,75.937925,44100,2,320
25440,132.68897959183673,44100,2,127
29089,131.3174375,44100,2,128
27836,153.39102040816326,44100,2,128
22539,180.9548125,44100,1,128
27982,145.37142857142857,44100,1,64
9925,223.2774375,44100,2,128
9234,183.726,32000,1,54
13715,124.395075,44100,1,320
